condition,mio_tcd_coverage,aau_rainsnow_coverage,ua_detrac_coverage,k230_required,coverage_status,evidence,gap_level,recommended_action,notes
Mưa,NOT_VERIFIED,DATASET_LEVEL_OR_AUTOMATIC_ESTIMATE,PARTIAL,TRUE,PARTIAL,AAU dataset identity/video estimate; UA XML weather cho mưa.,HIGH,Review thủ công và bổ sung K230 cùng điều kiện.,BBox phương tiện không phải bằng chứng xe đang dừng.
Đường ướt,NOT_VERIFIED,DATASET_LEVEL_OR_AUTOMATIC_ESTIMATE,NOT_VERIFIED,TRUE,PARTIAL,AAU dataset identity/video estimate; UA XML weather cho mưa.,HIGH,Review thủ công và bổ sung K230 cùng điều kiện.,BBox phương tiện không phải bằng chứng xe đang dừng.
Ngược sáng,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,TRUE,PARTIAL,BBox/sequence có thể hỗ trợ nhưng chưa chứng minh điều kiện cụ thể.,MEDIUM,Manual review contact sheet và thu K230.,BBox phương tiện không phải bằng chứng xe đang dừng.
Đèn pha,NOT_VERIFIED,DATASET_LEVEL_OR_AUTOMATIC_ESTIMATE,NOT_VERIFIED,TRUE,PARTIAL,AAU dataset identity/video estimate; UA XML weather cho mưa.,HIGH,Review thủ công và bổ sung K230 cùng điều kiện.,BBox phương tiện không phải bằng chứng xe đang dừng.
Xe máy,CLASS_PRESENT,CLASS_PRESENT,CLASS_NOT_OBSERVED_IN_XML,TRUE,PARTIAL,Class distribution từ annotation.,MEDIUM,Giữ xe máy MIO/AAU và quay thêm K230.,BBox phương tiện không phải bằng chứng xe đang dừng.
Ô tô,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,TRUE,PARTIAL,BBox/sequence có thể hỗ trợ nhưng chưa chứng minh điều kiện cụ thể.,MEDIUM,Manual review contact sheet và thu K230.,BBox phương tiện không phải bằng chứng xe đang dừng.
Xe tải,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,TRUE,PARTIAL,BBox/sequence có thể hỗ trợ nhưng chưa chứng minh điều kiện cụ thể.,MEDIUM,Manual review contact sheet và thu K230.,BBox phương tiện không phải bằng chứng xe đang dừng.
Xe khách,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,TRUE,PARTIAL,BBox/sequence có thể hỗ trợ nhưng chưa chứng minh điều kiện cụ thể.,MEDIUM,Manual review contact sheet và thu K230.,BBox phương tiện không phải bằng chứng xe đang dừng.
Xe gần,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,TRUE,PARTIAL,BBox/sequence có thể hỗ trợ nhưng chưa chứng minh điều kiện cụ thể.,MEDIUM,Manual review contact sheet và thu K230.,BBox phương tiện không phải bằng chứng xe đang dừng.
Xe xa,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,TRUE,PARTIAL,BBox/sequence có thể hỗ trợ nhưng chưa chứng minh điều kiện cụ thể.,MEDIUM,Manual review contact sheet và thu K230.,BBox phương tiện không phải bằng chứng xe đang dừng.
Một xe,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,TRUE,PARTIAL,BBox/sequence có thể hỗ trợ nhưng chưa chứng minh điều kiện cụ thể.,MEDIUM,Manual review contact sheet và thu K230.,BBox phương tiện không phải bằng chứng xe đang dừng.
Nhiều xe,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,TRUE,PARTIAL,BBox/sequence có thể hỗ trợ nhưng chưa chứng minh điều kiện cụ thể.,MEDIUM,Manual review contact sheet và thu K230.,BBox phương tiện không phải bằng chứng xe đang dừng.
Không có xe,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,TRUE,PARTIAL,BBox/sequence có thể hỗ trợ nhưng chưa chứng minh điều kiện cụ thể.,MEDIUM,Manual review contact sheet và thu K230.,BBox phương tiện không phải bằng chứng xe đang dừng.
Camera rung,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,TRUE,PARTIAL,BBox/sequence có thể hỗ trợ nhưng chưa chứng minh điều kiện cụ thể.,MEDIUM,Manual review contact sheet và thu K230.,BBox phương tiện không phải bằng chứng xe đang dừng.
Bóng cây,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,TRUE,PARTIAL,BBox/sequence có thể hỗ trợ nhưng chưa chứng minh điều kiện cụ thể.,MEDIUM,Manual review contact sheet và thu K230.,BBox phương tiện không phải bằng chứng xe đang dừng.
Biển báo,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,TRUE,PARTIAL,BBox/sequence có thể hỗ trợ nhưng chưa chứng minh điều kiện cụ thể.,MEDIUM,Manual review contact sheet và thu K230.,BBox phương tiện không phải bằng chứng xe đang dừng.
Vật thể gây nhiễu,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,PARTIAL_OR_NOT_VERIFIED,TRUE,PARTIAL,BBox/sequence có thể hỗ trợ nhưng chưa chứng minh điều kiện cụ thể.,MEDIUM,Manual review contact sheet và thu K230.,BBox phương tiện không phải bằng chứng xe đang dừng.
