"sample_id","visual_assessment","reviewer","review_date","review_status","notes"
"UA_OTHERS_STRAT_013","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Motor vehicle is visible."
"UA_OTHERS_STRAT_014","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Truck is visible."
"UA_OTHERS_STRAT_015","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Motor vehicle is visible."
"UA_OTHERS_STRAT_016","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Truck is visible."
"UA_OTHERS_STRAT_017","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Delivery vehicle is visible."
"UA_OTHERS_STRAT_018","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Tow truck is visible."
"UA_OTHERS_STRAT_019","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Motion-blurred vehicle remains identifiable."
"UA_OTHERS_STRAT_020","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Van is visible."
"UA_OTHERS_STRAT_021","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Motor vehicle is visible from elevated view."
"UA_OTHERS_STRAT_022","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Motor vehicle confirmed from representative frame and track context."
"UA_OTHERS_STRAT_023","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Tow truck is visible."
"UA_OTHERS_STRAT_024","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Motor vehicle is visible."
"UA_OTHERS_STRAT_025","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Motorized utility vehicle is visible."
"UA_OTHERS_STRAT_026","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Truck is visible."
"UA_OTHERS_STRAT_027","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Truck is visible."
"UA_OTHERS_STRAT_028","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Motor vehicle confirmed from representative frame and track context."
"UA_OTHERS_STRAT_029","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Truck is visible."
"UA_OTHERS_STRAT_030","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Motor vehicle confirmed from representative frame and track context."
"UA_OTHERS_STRAT_031","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Truck is visible."
"UA_OTHERS_STRAT_032","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Van is visible."
"UA_OTHERS_STRAT_033","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Construction vehicle is visible."
"UA_OTHERS_STRAT_034","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Large vehicle is visible at boundary."
"UA_OTHERS_STRAT_035","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Cement truck is visible."
"UA_OTHERS_STRAT_036","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Truck is visible."
"UA_OTHERS_STRAT_037","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Truck is visible."
"UA_OTHERS_STRAT_038","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Truck is visible."
"UA_OTHERS_STRAT_039","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Headlights and silhouette appear vehicle-like."
"UA_OTHERS_STRAT_040","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Truck is visible."
"UA_OTHERS_STRAT_041","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Truck is visible."
"UA_OTHERS_STRAT_042","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Tow truck is visible."
"UA_OTHERS_STRAT_043","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Van is visible."
"UA_OTHERS_STRAT_044","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Motor vehicle confirmed from representative frame and track context."
"UA_OTHERS_STRAT_045","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Truck is visible."
"UA_OTHERS_STRAT_046","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Motor vehicle confirmed from representative frame and track context."
"UA_OTHERS_STRAT_047","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Truck is visible."
"UA_OTHERS_STRAT_048","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Tow truck is visible."
"UA_OTHERS_STRAT_049","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Truck is visible."
"UA_OTHERS_STRAT_050","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Dump truck is visible."
"UA_OTHERS_STRAT_051","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Bus is visible."
"UA_OTHERS_STRAT_052","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Motor vehicle is visible."
"UA_OTHERS_STRAT_053","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Truck is visible."
"UA_OTHERS_STRAT_054","NON_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Box encloses a roadside shelter or advertising structure with people."
"UA_OTHERS_STRAT_055","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Motor vehicle is visible."
"UA_OTHERS_STRAT_056","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Truck is visible."
"UA_OTHERS_STRAT_057","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Truck is visible."
"UA_OTHERS_STRAT_058","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Bus is visible."
"UA_OTHERS_STRAT_059","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Truck is visible."
"UA_OTHERS_STRAT_060","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Bus is visible."
